240728 0018 01 4 95              04450.62 00000.00                      
240728 0018 02 4 95              08701.14 00000.00                      
240728 0018 03 4 95              04652.15 00000.00                      
240728 0018 04 4 95              07822.04 00000.00                      
240728 0018 05 3 Soler           21756.79 00000.00                      
240728 0048 01 4 95              04380.63 00000.00                      
240728 0048 02 4 95              08608.50 00000.00                      
240728 0048 03 4 95              04577.84 00000.00                      
240728 0048 04 4 95              07684.94 00000.00                      
240728 0048 05 3 Soler           21756.86 00000.00                      
240728 0118 01 4 95              04354.38 00000.00                      
240728 0118 02 4 95              08540.15 00000.00                      
240728 0118 03 4 95              04548.19 00000.00                      
240728 0118 04 4 95              07655.83 00000.00                      
240728 0118 05 3 Soler           21721.06 00000.00                      
240728 0148 01 4 95              04307.74 00000.00                      
240728 0148 02 4 95              08451.55 00000.00                      
240728 0148 03 4 95              04493.18 00000.00                      
240728 0148 04 4 95              07574.06 00000.00                      
240728 0148 05 3 Soler           21720.54 00000.00                      
240728 0218 01 4 95              04303.42 00000.00                      
240728 0218 02 4 95              08453.53 00000.00                      
240728 0218 03 4 95              04495.78 00000.00                      
240728 0218 04 4 95              07583.06 00000.00                      
240728 0218 05 3 Soler           21684.36 00000.00                      
240728 0248 01 4 95              04297.59 00000.00                      
240728 0248 02 4 95              08420.73 00000.00                      
240728 0248 03 4 95              04490.68 00000.00                      
240728 0248 04 4 95              07514.43 00000.00                      
240728 0248 05 3 Soler           21544.43 00000.00                      
240728 0318 01 4 95              04295.05 00000.00                      
240728 0318 02 4 95              08425.63 00000.00                      
240728 0318 03 4 95              04491.33 00000.00                      
240728 0318 04 4 95              07485.08 00000.00                      
240728 0318 05 3 Soler           21544.21 00000.00                      
240728 0348 01 4 95              04293.20 00000.00                      
240728 0348 02 4 95              08430.54 00000.00                      
240728 0348 03 4 95              04494.89 00000.00                      
240728 0348 04 4 95              07486.17 00000.00                      
240728 0348 05 3 Soler           21544.89 00000.00                      
240728 0418 01 4 95              04292.01 00000.00                      
240728 0418 02 4 95              08432.62 00000.00                      
240728 0418 03 4 95              04495.57 00000.00                      
240728 0418 04 4 95              07455.85 00000.00                      
240728 0418 05 3 Soler           21341.75 00000.00                      
240728 0448 01 4 95              04291.15 00000.00                      
240728 0448 02 4 95              08434.61 00000.00                      
240728 0448 03 4 95              04496.81 00000.00                      
240728 0448 04 4 95              07456.60 00000.00                      
240728 0448 05 3 Soler           21341.54 00000.00                      
240728 0518 01 4 95              04288.44 00000.00                      
240728 0518 02 4 95              08417.30 00000.00                      
240728 0518 03 4 95              04495.98 00000.00                      
240728 0518 04 4 95              07422.83 00000.00                      
240728 0518 05 3 Soler           21283.11 00000.00                      
240728 0548 01 4 95              04284.46 00000.00                      
240728 0548 02 4 95              08373.65 00000.00                      
240728 0548 03 4 95              04450.16 00000.00                      
240728 0548 04 4 95              07372.72 00000.00                      
240728 0548 05 3 Soler           21010.60 00000.00                      
240728 0618 01 4 95              04170.01 00000.00                      
240728 0618 02 4 95              08243.22 00000.00                      
240728 0618 03 4 95              04374.45 00000.00                      
240728 0618 04 4 95              07371.27 00000.00                      
240728 0618 05 3 Soler           20753.53 00000.00                      
240728 0648 01 4 95              04081.89 00000.00                      
240728 0648 02 4 95              08092.83 00000.00                      
240728 0648 03 4 95              04280.62 00000.00                      
240728 0648 04 4 95              07194.49 00000.00                      
240728 0648 05 3 Soler           20410.14 00000.00                      
240728 0718 01 4 95              03982.85 00000.00                      
240728 0718 02 4 95              07912.57 00000.00                      
240728 0718 03 4 95              04178.17 00000.00                      
240728 0718 04 4 95              07042.95 00000.00                      
240728 0718 05 3 Soler           19920.20 00000.00                      
240728 0748 01 4 95              03855.87 00000.00                      
240728 0748 02 4 95              07686.74 00000.00                      
240728 0748 03 4 95              04049.90 00000.00                      
240728 0748 04 4 95              06815.10 00000.00                      
240728 0748 05 3 Soler           19803.96 00000.00                      
240728 0818 01 4 95              03764.58 00000.00                      
240728 0818 02 4 95              07508.11 00000.00                      
240728 0818 03 4 95              03958.09 00000.00                      
240728 0818 04 4 95              06655.92 00000.00                      
240728 0818 05 3 Soler           19520.70 00000.00                      
240728 0848 01 4 95              03625.31 00000.00                      
240728 0848 02 4 95              07276.38 00000.00                      
240728 0848 03 4 95              03804.58 00000.00                      
240728 0848 04 4 95              06341.73 00000.00                      
240728 0848 05 3 Soler           19409.56 00000.00                      
240728 0918 01 4 95              03474.43 00000.00                      
240728 0918 02 4 95              07007.75 00000.00                      
240728 0918 03 4 95              03661.04 00000.00                      
240728 0918 04 4 95              06141.47 00000.00                      
240728 0918 05 3 Soler           18890.21 00000.00                      
240728 0948 01 4 95              03321.26 00000.00                      
240728 0948 02 4 95              06740.75 00000.00                      
240728 0948 03 4 95              03487.08 00000.00                      
240728 0948 04 4 95              05800.15 00000.00                      
240728 0948 05 3 Soler           18406.31 00000.00                      
240728 1018 01 4 95              03150.21 00000.00                      
240728 1018 02 4 95              06395.36 00000.00                      
240728 1018 03 4 95              03324.72 00000.00                      
240728 1018 04 4 95              05547.14 00000.00                      
240728 1018 05 3 Soler           17883.61 00000.00                      
240728 1048 01 4 95              03033.25 00000.00                      
240728 1048 02 4 95              06210.10 00000.00                      
240728 1048 03 4 95              03204.83 00000.00                      
240728 1048 04 4 95              05364.44 00000.00                      
240728 1048 05 3 Soler           17672.06 00000.00                      
240728 1118 01 4 95              02925.99 00000.00                      
240728 1118 02 4 95              06037.49 00000.00                      
240728 1118 03 4 95              03109.19 00000.00                      
240728 1118 04 4 95              05194.24 00000.00                      
240728 1118 05 3 Soler           17245.59 00000.00                      
240728 1148 01 4 95              02806.25 00000.00                      
240728 1148 02 4 95              05825.25 00000.00                      
240728 1148 03 4 95              02990.44 00000.00                      
240728 1148 04 4 95              04993.99 00000.00                      
240728 1148 05 3 Soler           17121.08 00000.00                      
240728 1218 01 4 95              02680.13 00000.00                      
240728 1218 02 4 95              05584.71 00000.00                      
240728 1218 03 4 95              02836.90 00000.00                      
240728 1218 04 4 95              04683.49 00000.00                      
240728 1218 05 3 Soler           16428.96 00000.00                      
240728 1248 01 4 95              02556.98 00000.00                      
240728 1248 02 4 95              05378.31 00000.00                      
240728 1248 03 4 95              02725.53 00000.00                      
240728 1248 04 4 95              04522.10 00000.00                      
240728 1248 05 3 Soler           16093.12 00000.00                      
240728 1318 01 4 95              02468.38 00000.00                      
240728 1318 02 4 95              05225.27 00000.00                      
240728 1318 03 4 95              02623.64 00000.00                      
240728 1318 04 4 95              04348.83 00000.00                      
240728 1318 05 3 Soler           15442.17 00000.00                      
240728 1348 01 4 95              08268.42 00000.00                      
240728 1348 02 4 95              15690.95 00000.00                      
240728 1348 03 4 95              07827.31 00000.00                      
240728 1348 04 4 95              14886.66 00000.00                      
240728 1348 05 3 Soler           20252.29 00000.00                      
240728 1418 01 4 95              08357.29 00000.00                      
240728 1418 02 4 95              15376.70 00000.00 10325.80 240728 1329 
240728 1418 03 4 95              08552.93 00000.00                      
240728 1418 04 4 95              14543.17 00000.00 10325.80 240728 1329 
240728 1418 05 3 Soler           19878.61 00000.00 04921.62 240728 1328 
