240805 0026 01 4 95              05465.99 00000.00                      0103 
240805 0026 02 4 95              10485.13 00000.00                      
240805 0026 03 4 95              05664.65 00000.00                      
240805 0026 04 4 95              09548.48 00000.00                      
240805 0026 05 3 Soler           11263.08 00000.00                      
240805 0056 01 4 95              05462.94 00000.00                      0103 
240805 0056 02 4 95              10460.35 00000.00                      
240805 0056 03 4 95              05654.17 00000.00                      
240805 0056 04 4 95              09502.06 00000.00                      
240805 0056 05 3 Soler           10968.07 00000.00                      
240805 0126 01 4 95              05458.00 00000.00                      0103 
240805 0126 02 4 95              10420.39 00000.00                      
240805 0126 03 4 95              05632.44 00000.00                      
240805 0126 04 4 95              09517.33 00000.00                      
240805 0126 05 3 Soler           10885.46 00000.00                      
240805 0156 01 4 95              05453.40 00000.00                      0103 
240805 0156 02 4 95              10409.37 00000.00                      
240805 0156 03 4 95              05625.13 00000.00                      
240805 0156 04 4 95              09480.66 00000.00                      
240805 0156 05 3 Soler           10885.58 00000.00                      
240805 0226 01 4 95              05448.99 00000.00                      0103 
240805 0226 02 4 95              10395.70 00000.00                      
240805 0226 03 4 95              05623.85 00000.00                      
240805 0226 04 4 95              09445.07 00000.00                      
240805 0226 05 3 Soler           10718.16 00000.00                      
240805 0256 01 4 95              05446.23 00000.00                      0103 
240805 0256 02 4 95              10401.70 00000.00                      
240805 0256 03 4 95              05626.29 00000.00                      
240805 0256 04 4 95              09445.09 00000.00                      
240805 0256 05 3 Soler           10718.14 00000.00                      
240805 0326 01 4 95              05444.27 00000.00                      0103 
240805 0326 02 4 95              10406.15 00000.00                      
240805 0326 03 4 95              05630.00 00000.00                      
240805 0326 04 4 95              09444.89 00000.00                      
240805 0326 05 3 Soler           10718.47 00000.00                      
240805 0356 01 4 95              05442.72 00000.00                      0103 
240805 0356 02 4 95              10408.70 00000.00                      
240805 0356 03 4 95              05631.24 00000.00                      
240805 0356 04 4 95              09445.84 00000.00                      
240805 0356 05 3 Soler           10358.33 00000.00                      
240805 0426 01 4 95              05441.54 00000.00                      0103 
240805 0426 02 4 95              10410.65 00000.00                      
240805 0426 03 4 95              05631.23 00000.00                      
240805 0426 04 4 95              09418.31 00000.00                      
240805 0426 05 3 Soler           10358.27 00000.00                      
240805 0456 01 4 95              05438.93 00000.00                      0103 
240805 0456 02 4 95              10402.22 00000.00                      
240805 0456 03 4 95              05631.09 00000.00                      
240805 0456 04 4 95              09407.39 00000.00                      
240805 0456 05 3 Soler           10105.39 00000.00                      
240805 0526 01 4 95              05437.47 00000.00                      0103 
240805 0526 02 4 95              10400.13 00000.00                      
240805 0526 03 4 95              05625.81 00000.00                      
240805 0526 04 4 95              09360.22 00000.00                      
240805 0526 05 3 Soler           10105.40 00000.00                      
240805 0556 01 4 95              05358.51 00000.00                      0103 
240805 0556 02 4 95              10288.48 00000.00                      
240805 0556 03 4 95              05553.88 00000.00                      
240805 0556 04 4 95              09390.82 00000.00                      
240805 0556 05 3 Soler           09936.83 00000.00                      
240805 0626 01 4 95              05347.47 00000.00                      0103 
240805 0626 02 4 95              10258.66 00000.00                      
240805 0626 03 4 95              05544.85 00000.00                      
240805 0626 04 4 95              09364.16 00000.00                      
240805 0626 05 3 Soler           09375.15 00000.00                      
240805 0656 01 4 95              05291.27 00000.00                      0103 
240805 0656 02 4 95              10173.98 00000.00                      
240805 0656 03 4 95              05489.54 00000.00                      
240805 0656 04 4 95              09283.81 00000.00                      
240805 0656 05 3 Soler           09293.74 00000.00                      
240805 0726 01 4 95              05219.01 00000.00                      0103 
240805 0726 02 4 95              10032.83 00000.00                      
240805 0726 03 4 95              05413.85 00000.00                      
240805 0726 04 4 95              09139.55 00000.00                      
240805 0726 05 3 Soler           09052.72 00000.00                      
240805 0756 01 4 95              05096.95 00000.00                      0103 
240805 0756 02 4 95              09825.32 00000.00                      
240805 0756 03 4 95              05284.85 00000.00                      
240805 0756 04 4 95              08898.54 00000.00                      
240805 0756 05 3 Soler           08738.98 00000.00                      
240805 0826 01 4 95              04918.93 00000.00                      0103 
240805 0826 02 4 95              09472.81 00000.00                      
240805 0826 03 4 95              05084.05 00000.00                      
240805 0826 04 4 95              08559.85 00000.00                      
240805 0826 05 3 Soler           18784.75 00000.00                      
240805 0856 01 4 95              09369.94 00000.00                      0204 0103 
240805 0856 02 4 95              17345.33 00000.00                      
240805 0856 03 4 95              09913.16 00000.00                      0212 0204 
240805 0856 04 4 95              17265.91 00000.00                      
240805 0856 05 3 Soler           18966.44 00000.00 11145.87 240805 0806 
240805 0926 01 4 95              09562.82 00000.00 05264.60 240805 0828 0212 0204 0103 
240805 0926 02 4 95              17362.34 00000.00 08187.31 240805 0829 
240805 0926 03 4 95              09772.99 00000.00 05264.60 240805 0828 0212 0204 
240805 0926 04 4 95              16698.04 00000.00 08187.31 240805 0829 
240805 0926 05 3 Soler           18295.66 00000.00                      
240805 0956 01 4 95              09494.60 00000.00                      0212 0204 0103 
240805 0956 02 4 95              17226.26 00000.00                      
240805 0956 03 4 95              09679.90 00000.00                      0212 0204 
240805 0956 04 4 95              16532.05 00000.00                      
240805 0956 05 3 Soler           18087.38 00000.00                      
240805 1026 01 4 95              09401.77 00000.00                      0212 0204 0103 
240805 1026 02 4 95              17070.70 00000.00                      
240805 1026 03 4 95              09568.63 00000.00                      0212 0204 
240805 1026 04 4 95              16351.98 00000.00                      
240805 1026 05 3 Soler           17481.07 00000.00                      
240805 1056 01 4 95              09320.67 00000.00                      0204 0103 
240805 1056 02 4 95              16940.76 00000.00                      
240805 1056 03 4 95              09485.73 00000.00                      0212 0204 
240805 1056 04 4 95              16188.92 00000.00                      
240805 1056 05 3 Soler           16859.24 00000.00                      
240805 1126 01 4 95              09195.63 00000.00                      0204 0103 
240805 1126 02 4 95              16740.70 00000.00                      
240805 1126 03 4 95              09363.76 00000.00                      0204 
240805 1126 04 4 95              16000.52 00000.00                      
240805 1126 05 3 Soler           16530.40 00000.00                      
240805 1156 01 4 95              09077.71 00000.00                      0204 0103 
240805 1156 02 4 95              16568.10 00000.00                      
240805 1156 03 4 95              09258.74 00000.00                      0204 
240805 1156 04 4 95              15815.99 00000.00                      
240805 1156 05 3 Soler           16226.42 00000.00                      
240805 1226 01 4 95              08977.64 00000.00                      0204 0103 
240805 1226 02 4 95              16409.36 00000.00                      
240805 1226 03 4 95              09145.39 00000.00                      0204 
240805 1226 04 4 95              15600.58 00000.00                      
240805 1226 05 3 Soler           15358.21 00000.00                      
240805 1256 01 4 95              08838.48 00000.00                      0103 
240805 1256 02 4 95              16157.70 00000.00                      
240805 1256 03 4 95              08995.38 00000.00                      0204 
240805 1256 04 4 95              15334.11 00000.00                      
240805 1256 05 3 Soler           14888.17 00000.00                      
240805 1326 01 4 95              08754.80 00000.00                      0103 
240805 1326 02 4 95              16040.19 00000.00                      
240805 1326 03 4 95              08922.85 00000.00                      0204 
240805 1326 04 4 95              15208.08 00000.00                      
240805 1326 05 3 Soler           14223.66 00000.00                      
240805 1356 01 4 95              08621.15 00000.00                      0103 
240805 1356 02 4 95              15827.10 00000.00                      
240805 1356 03 4 95              08797.98 00000.00                      
240805 1356 04 4 95              14996.00 00000.00                      
240805 1356 05 3 Soler           13561.29 00000.00                      
240805 1426 01 4 95              08542.32 00000.00                      0103 
240805 1426 02 4 95              15671.00 00000.00                      
240805 1426 03 4 95              08722.68 00000.00                      
240805 1426 04 4 95              14875.75 00000.00                      
240805 1426 05 3 Soler           13367.70 00000.00                      
