240803 0026 01 4 95              06741.15 00000.00                      
240803 0026 02 4 95              12618.65 00000.00                      
240803 0026 03 4 95              06943.58 00000.00                      
240803 0026 04 4 95              11795.73 00000.00                      
240803 0026 05 3 Soler           19075.04 00000.00                      
240803 0056 01 4 95              06704.10 00000.00                      
240803 0056 02 4 95              12608.51 00000.00                      
240803 0056 03 4 95              06931.32 00000.00                      
240803 0056 04 4 95              11746.77 00000.00                      
240803 0056 05 3 Soler           19075.18 00000.00                      
240803 0126 01 4 95              06701.01 00000.00                      
240803 0126 02 4 95              12597.16 00000.00                      
240803 0126 03 4 95              06925.45 00000.00                      
240803 0126 04 4 95              11726.25 00000.00                      
240803 0126 05 3 Soler           19075.25 00000.00                      
240803 0156 01 4 95              06699.14 00000.00                      
240803 0156 02 4 95              12593.40 00000.00                      
240803 0156 03 4 95              06921.42 00000.00                      
240803 0156 04 4 95              11705.23 00000.00                      
240803 0156 05 3 Soler           19075.27 00000.00                      
240803 0226 01 4 95              06696.48 00000.00                      
240803 0226 02 4 95              12581.10 00000.00                      
240803 0226 03 4 95              06916.17 00000.00                      
240803 0226 04 4 95              11684.84 00000.00                      
240803 0226 05 3 Soler           19075.59 00000.00                      
240803 0256 01 4 95              06693.89 00000.00                      
240803 0256 02 4 95              12559.11 00000.00                      
240803 0256 03 4 95              06907.73 00000.00                      
240803 0256 04 4 95              11655.77 00000.00                      
240803 0256 05 3 Soler           19004.31 00000.00                      
240803 0326 01 4 95              06692.32 00000.00                      
240803 0326 02 4 95              12563.53 00000.00                      
240803 0326 03 4 95              06908.62 00000.00                      
240803 0326 04 4 95              11656.45 00000.00                      
240803 0326 05 3 Soler           19004.54 00000.00                      
240803 0356 01 4 95              06691.35 00000.00                      
240803 0356 02 4 95              12568.46 00000.00                      
240803 0356 03 4 95              06909.81 00000.00                      
240803 0356 04 4 95              11656.54 00000.00                      
240803 0356 05 3 Soler           19004.32 00000.00                      
240803 0426 01 4 95              06688.47 00000.00                      
240803 0426 02 4 95              12542.15 00000.00                      
240803 0426 03 4 95              06905.38 00000.00                      
240803 0426 04 4 95              11632.68 00000.00                      
240803 0426 05 3 Soler           19004.73 00000.00                      
240803 0456 01 4 95              06686.76 00000.00                      
240803 0456 02 4 95              12547.51 00000.00                      
240803 0456 03 4 95              06906.13 00000.00                      
240803 0456 04 4 95              11632.76 00000.00                      
240803 0456 05 3 Soler           19004.90 00000.00                      
240803 0526 01 4 95              06685.50 00000.00                      
240803 0526 02 4 95              12550.09 00000.00                      
240803 0526 03 4 95              06904.77 00000.00                      
240803 0526 04 4 95              11610.78 00000.00                      
240803 0526 05 3 Soler           19005.22 00000.00                      
240803 0556 01 4 95              06684.64 00000.00                      
240803 0556 02 4 95              12552.93 00000.00                      
