240802 0018 01 4 95              05471.33 00000.00                      
240802 0018 02 4 95              10489.20 00000.00                      
240802 0018 03 4 95              05672.50 00000.00                      
240802 0018 04 4 95              09574.22 00000.00                      
240802 0018 05 3 Soler           16009.45 00000.00                      
240802 0048 01 4 95              05423.75 00000.00                      
240802 0048 02 4 95              10390.64 00000.00                      
240802 0048 03 4 95              05618.81 00000.00                      
240802 0048 04 4 95              09493.44 00000.00                      
240802 0048 05 3 Soler           15648.97 00000.00                      
240802 0118 01 4 95              05412.78 00000.00                      
240802 0118 02 4 95              10380.26 00000.00                      
240802 0118 03 4 95              05617.83 00000.00                      
240802 0118 04 4 95              09469.26 00000.00                      
240802 0118 05 3 Soler           15648.26 00000.00                      
240802 0148 01 4 95              05409.25 00000.00                      
240802 0148 02 4 95              10365.31 00000.00                      
240802 0148 03 4 95              05610.14 00000.00                      
240802 0148 04 4 95              09431.95 00000.00                      
240802 0148 05 3 Soler           15648.35 00000.00                      
240802 0218 01 4 95              05407.07 00000.00                      
240802 0218 02 4 95              10361.49 00000.00                      
240802 0218 03 4 95              05609.60 00000.00                      
240802 0218 04 4 95              09426.31 00000.00                      
240802 0218 05 3 Soler           15623.46 00000.00                      
240802 0248 01 4 95              05406.11 00000.00                      
240802 0248 02 4 95              10365.95 00000.00                      
240802 0248 03 4 95              05612.12 00000.00                      
240802 0248 04 4 95              09426.12 00000.00                      
240802 0248 05 3 Soler           15623.46 00000.00                      
240802 0318 01 4 95              05404.86 00000.00                      
240802 0318 02 4 95              10362.92 00000.00                      
240802 0318 03 4 95              05614.43 00000.00                      
240802 0318 04 4 95              09410.52 00000.00                      
240802 0318 05 3 Soler           15623.40 00000.00                      
240802 0348 01 4 95              05404.22 00000.00                      
240802 0348 02 4 95              10364.26 00000.00                      
240802 0348 03 4 95              05615.92 00000.00                      
240802 0348 04 4 95              09410.75 00000.00                      
240802 0348 05 3 Soler           15623.47 00000.00                      
240802 0418 01 4 95              05403.63 00000.00                      
240802 0418 02 4 95              10365.38 00000.00                      
240802 0418 03 4 95              05616.66 00000.00                      
240802 0418 04 4 95              09411.33 00000.00                      
240802 0418 05 3 Soler           15479.87 00000.00                      
240802 0448 01 4 95              05401.75 00000.00                      
240802 0448 02 4 95              10341.58 00000.00                      
240802 0448 03 4 95              05614.66 00000.00                      
240802 0448 04 4 95              09333.72 00000.00                      
240802 0448 05 3 Soler           15479.76 00000.00                      
240802 0518 01 4 95              05399.85 00000.00                      
240802 0518 02 4 95              10333.25 00000.00                      
240802 0518 03 4 95              05606.92 00000.00                      
240802 0518 04 4 95              09260.27 00000.00                      
240802 0518 05 3 Soler           15443.20 00000.00                      
240802 0548 01 4 95              05395.50 00000.00                      
240802 0548 02 4 95              10272.57 00000.00                      
240802 0548 03 4 95              05552.86 00000.00                      
240802 0548 04 4 95              09299.73 00000.00                      
240802 0548 05 3 Soler           15343.43 00000.00                      
240802 0618 01 4 95              05331.59 00000.00                      
240802 0618 02 4 95              10226.58 00000.00                      
240802 0618 03 4 95              05523.74 00000.00                      
240802 0618 04 4 95              09307.81 00000.00                      
240802 0618 05 3 Soler           15318.94 00000.00                      
240802 0648 01 4 95              05313.36 00000.00                      
240802 0648 02 4 95              10173.33 00000.00                      
240802 0648 03 4 95              05486.50 00000.00                      
240802 0648 04 4 95              09188.11 00000.00                      
240802 0648 05 3 Soler           15318.87 00000.00                      
240802 0718 01 4 95              05241.21 00000.00                      
240802 0718 02 4 95              10071.80 00000.00                      
240802 0718 03 4 95              05438.34 00000.00                      
240802 0718 04 4 95              09153.48 00000.00                      
240802 0718 05 3 Soler           15319.13 00000.00                      
240802 0748 01 4 95              05168.49 00000.00                      
240802 0748 02 4 95              09955.01 00000.00                      
240802 0748 03 4 95              05366.53 00000.00                      
240802 0748 04 4 95              09018.74 00000.00                      
240802 0748 05 3 Soler           15116.50 00000.00                      
240802 0818 01 4 95              05065.77 00000.00                      
240802 0818 02 4 95              09779.04 00000.00                      
240802 0818 03 4 95              05270.95 00000.00                      
240802 0818 04 4 95              08890.48 00000.00                      
240802 0818 05 3 Soler           15057.38 00000.00                      
240802 0848 01 4 95              04982.43 00000.00                      
240802 0848 02 4 95              09635.32 00000.00                      
240802 0848 03 4 95              05182.06 00000.00                      
240802 0848 04 4 95              08722.97 00000.00                      
240802 0848 05 3 Soler           14971.42 00000.00                      
240802 0918 01 4 95              04834.18 00000.00                      
240802 0918 02 4 95              09388.15 00000.00                      
240802 0918 03 4 95              05040.92 00000.00                      
240802 0918 04 4 95              08498.65 00000.00                      
240802 0918 05 3 Soler           14781.13 00000.00                      
240802 0948 01 4 95              04681.29 00000.00                      
240802 0948 02 4 95              09116.97 00000.00                      
240802 0948 03 4 95              04864.30 00000.00                      
240802 0948 04 4 95              08190.22 00000.00                      
240802 0948 05 3 Soler           14346.51 00000.00                      
240802 1018 01 4 95              09051.90 00000.00                      0204 
240802 1018 02 4 95              18479.69 00000.00                      0204 
240802 1018 03 4 95              09336.44 00000.00                      0204 
240802 1018 04 4 95              18231.06 00000.00                      
240802 1018 05 3 Soler           22749.32 00000.00                      
240802 1048 01 4 95              09221.19 00000.00                      0204 
240802 1048 02 4 95              17841.93 00000.00 09137.79 240802 0956 0204 
240802 1048 03 4 95              10072.36 00000.00                      0212 0204 
240802 1048 04 4 95              17136.54 00000.00 09137.79 240802 0956 
240802 1048 05 3 Soler           22748.61 00000.00 08469.13 240802 0949 
240802 1118 01 4 95              09408.30 00000.00 05371.23 240802 0958 0204 
240802 1118 02 4 95              17456.60 00000.00                      
240802 1118 03 4 95              09815.29 00000.00 05371.23 240802 0958 0212 0204 
240802 1118 04 4 95              16677.95 00000.00                      
240802 1118 05 3 Soler           22639.13 00000.00                      
------------------ Start session -----------------
240802 1126 01 4 95              09444.99 00000.00 05371.23 240802 0958 0204 
240802 1126 01 4 95                                05378.57 240801 1344 
240802 1126 01 4 95                                05209.34 240731 1348 
240802 1126 01 4 95                                05260.35 240730 0924 
240802 1126 01 4 95                                05052.30 240729 1125 
240802 1126 01 4 95                                06378.95 240728 1331 
240802 1126 01 4 95                                00025.95 240727 2311 
240802 1126 01 4 95                                05026.62 240726 0940 
240802 1126 01 4 95                                00144.41 240725 1818 
240802 1126 01 4 95                                05153.66 240725 1214 
240802 1126 02 4 95              17339.46 00000.00 09137.79 240802 0956 
240802 1126 02 4 95                                08461.50 240801 1342 
240802 1126 02 4 95                                08371.52 240731 1344 
240802 1126 02 4 95                                08968.51 240730 0920 
240802 1126 02 4 95                                08593.87 240729 1123 
240802 1126 02 4 95                                10325.80 240728 1329 
240802 1126 02 4 95                                07609.75 240726 0939 
240802 1126 02 4 95                                09677.03 240725 1216 
240802 1126 02 4 95                                08785.26 240724 1131 
240802 1126 02 4 95                                08682.89 240723 0814 
240802 1126 03 4 95              09748.43 00000.00 05371.23 240802 0958 0212 0204 
240802 1126 03 4 95                                05378.57 240801 1344 
240802 1126 03 4 95                                05209.34 240731 1348 
240802 1126 03 4 95                                05260.35 240730 0924 
240802 1126 03 4 95                                05052.30 240729 1125 
240802 1126 03 4 95                                06378.95 240728 1331 
240802 1126 03 4 95                                00025.95 240727 2311 
240802 1126 03 4 95                                05026.62 240726 0940 
240802 1126 03 4 95                                00144.41 240725 1818 
240802 1126 03 4 95                                05153.66 240725 1214 
240802 1126 04 4 95              16562.03 00000.00 09137.79 240802 0956 
240802 1126 04 4 95                                08461.50 240801 1342 
240802 1126 04 4 95                                08371.52 240731 1344 
240802 1126 04 4 95                                08968.51 240730 0920 
240802 1126 04 4 95                                08593.87 240729 1123 
240802 1126 04 4 95                                10325.80 240728 1329 
240802 1126 04 4 95                                07609.75 240726 0939 
240802 1126 04 4 95                                09677.03 240725 1216 
240802 1126 04 4 95                                08785.26 240724 1131 
240802 1126 04 4 95                                08682.89 240723 0814 
240802 1126 05 3 Soler           22640.16 00000.00 08469.13 240802 0949 
240802 1126 05 3 Soler                             10991.84 240801 1320 
240802 1126 05 3 Soler                             11991.02 240731 1323 
240802 1126 05 3 Soler                             09989.15 240730 0919 
240802 1126 05 3 Soler                             11556.47 240729 1121 
240802 1126 05 3 Soler                             04921.62 240728 1328 
240802 1126 05 3 Soler                             11754.03 240726 0915 
240802 1126 05 3 Soler                             09007.53 240725 1155 
240802 1126 05 3 Soler                             10850.43 240724 1128 
240802 1126 05 3 Soler                             10036.63 240723 0811 
240802 1156 01 4 95              09314.64 00000.00                      0204 
240802 1156 02 4 95              16956.68 00000.00                      
240802 1156 03 4 95              09508.54 00000.00                      0212 0204 
240802 1156 04 4 95              16293.29 00000.00                      
240802 1156 05 3 Soler           22333.49 00000.00                      
240802 1226 01 4 95              09162.82 00000.00                      0204 
240802 1226 02 4 95              16705.65 00000.00                      
240802 1226 03 4 95              09333.94 00000.00                      0204 
240802 1226 04 4 95              15864.35 00000.00                      
240802 1226 05 3 Soler           22183.79 00000.00                      
240802 1256 01 4 95              08990.01 00000.00                      0204 
240802 1256 02 4 95              16446.54 00000.00                      
240802 1256 03 4 95              09200.44 00000.00                      0204 
240802 1256 04 4 95              15722.22 00000.00                      
