240731 0018 01 4 95              05968.07 00000.00                      
240731 0018 02 4 95              11321.76 00000.00                      
240731 0018 03 4 95              06165.45 00000.00                      
240731 0018 04 4 95              10399.21 00000.00                      
240731 0018 05 3 Soler           16566.89 00000.00                      
240731 0048 01 4 95              05906.25 00000.00                      
240731 0048 02 4 95              11239.24 00000.00                      
240731 0048 03 4 95              06112.97 00000.00                      
240731 0048 04 4 95              10361.75 00000.00                      
240731 0048 05 3 Soler           16566.42 00000.00                      
240731 0118 01 4 95              05901.13 00000.00                      
240731 0118 02 4 95              11218.80 00000.00                      
240731 0118 03 4 95              06103.59 00000.00                      
240731 0118 04 4 95              10314.04 00000.00                      
240731 0118 05 3 Soler           16566.45 00000.00                      
240731 0148 01 4 95              05897.39 00000.00                      
240731 0148 02 4 95              11210.33 00000.00                      
240731 0148 03 4 95              06096.13 00000.00                      
240731 0148 04 4 95              10279.70 00000.00                      
240731 0148 05 3 Soler           16566.65 00000.00                      
240731 0218 01 4 95              05895.72 00000.00                      
240731 0218 02 4 95              11213.37 00000.00                      
240731 0218 03 4 95              06096.41 00000.00                      
240731 0218 04 4 95              10238.23 00000.00                      
240731 0218 05 3 Soler           16503.66 00000.00                      
240731 0248 01 4 95              05887.23 00000.00                      
240731 0248 02 4 95              11160.50 00000.00                      
240731 0248 03 4 95              06065.36 00000.00                      
240731 0248 04 4 95              10241.16 00000.00                      
240731 0248 05 3 Soler           16476.78 00000.00                      
240731 0318 01 4 95              05873.52 00000.00                      
240731 0318 02 4 95              11137.08 00000.00                      
240731 0318 03 4 95              06049.65 00000.00                      
240731 0318 04 4 95              10209.70 00000.00                      
240731 0318 05 3 Soler           16371.17 00000.00                      
240731 0348 01 4 95              05865.94 00000.00                      
240731 0348 02 4 95              11147.83 00000.00                      
240731 0348 03 4 95              06052.79 00000.00                      
240731 0348 04 4 95              10209.87 00000.00                      
240731 0348 05 3 Soler           16371.33 00000.00                      
240731 0418 01 4 95              05863.79 00000.00                      
240731 0418 02 4 95              11152.25 00000.00                      
240731 0418 03 4 95              06056.80 00000.00                      
240731 0418 04 4 95              10209.70 00000.00                      
240731 0418 05 3 Soler           16244.57 00000.00                      
240731 0448 01 4 95              05862.39 00000.00                      
240731 0448 02 4 95              11154.62 00000.00                      
240731 0448 03 4 95              06057.92 00000.00                      
240731 0448 04 4 95              10210.50 00000.00                      
240731 0448 05 3 Soler           16244.53 00000.00                      
240731 0518 01 4 95              05861.51 00000.00                      
240731 0518 02 4 95              11156.33 00000.00                      
240731 0518 03 4 95              06058.17 00000.00                      
240731 0518 04 4 95              10200.02 00000.00                      
240731 0518 05 3 Soler           16244.31 00000.00                      
240731 0548 01 4 95              05858.27 00000.00                      
240731 0548 02 4 95              11136.43 00000.00                      
240731 0548 03 4 95              06057.33 00000.00                      
240731 0548 04 4 95              10160.78 00000.00                      
240731 0548 05 3 Soler           16045.74 00000.00                      
240731 0618 01 4 95              05855.40 00000.00                      
240731 0618 02 4 95              11106.89 00000.00                      
240731 0618 03 4 95              06039.25 00000.00                      
240731 0618 04 4 95              10054.04 00000.00                      
240731 0618 05 3 Soler           15734.94 00000.00                      
240731 0648 01 4 95              05719.77 00000.00                      
240731 0648 02 4 95              10926.14 00000.00                      
240731 0648 03 4 95              05927.43 00000.00                      
240731 0648 04 4 95              10045.25 00000.00                      
240731 0648 05 3 Soler           15560.63 00000.00                      
240731 0718 01 4 95              05678.69 00000.00                      
240731 0718 02 4 95              10851.56 00000.00                      
240731 0718 03 4 95              05884.30 00000.00                      
240731 0718 04 4 95              09964.86 00000.00                      
240731 0718 05 3 Soler           15210.95 00000.00                      
240731 0748 01 4 95              05590.40 00000.00                      
240731 0748 02 4 95              10685.98 00000.00                      
240731 0748 03 4 95              05778.94 00000.00                      
240731 0748 04 4 95              09747.05 00000.00                      
240731 0748 05 3 Soler           14887.97 00000.00                      
240731 0818 01 4 95              05415.03 00000.00                      
240731 0818 02 4 95              10389.55 00000.00                      
240731 0818 03 4 95              05623.48 00000.00                      
240731 0818 04 4 95              09503.20 00000.00                      
240731 0818 05 3 Soler           14719.88 00000.00                      
240731 0848 01 4 95              05269.41 00000.00                      
240731 0848 02 4 95              10132.94 00000.00                      
240731 0848 03 4 95              05468.81 00000.00                      
240731 0848 04 4 95              09203.95 00000.00                      
240731 0848 05 3 Soler           14494.20 00000.00                      
240731 0918 01 4 95              05064.53 00000.00                      
240731 0918 02 4 95              09746.69 00000.00                      
240731 0918 03 4 95              05229.44 00000.00                      
240731 0918 04 4 95              08696.73 00000.00                      
240731 0918 05 3 Soler           14461.21 00000.00                      
240731 0948 01 4 95              04874.09 00000.00                      
240731 0948 02 4 95              09444.68 00000.00                      
240731 0948 03 4 95              05050.48 00000.00                      
240731 0948 04 4 95              08455.03 00000.00                      
240731 0948 05 3 Soler           14441.33 00000.00                      
240731 1018 01 4 95              04705.35 00000.00                      
240731 1018 02 4 95              09134.58 00000.00                      
240731 1018 03 4 95              04905.94 00000.00                      
240731 1018 04 4 95              08281.76 00000.00                      
240731 1018 05 3 Soler           13751.68 00000.00                      
240731 1048 01 4 95              04610.39 00000.00                      
240731 1048 02 4 95              08996.79 00000.00                      
240731 1048 03 4 95              04814.02 00000.00                      
240731 1048 04 4 95              08115.70 00000.00                      
240731 1048 05 3 Soler           13380.40 00000.00                      
240731 1118 01 4 95              04459.71 00000.00                      
240731 1118 02 4 95              08729.38 00000.00                      
240731 1118 03 4 95              04645.10 00000.00                      
240731 1118 04 4 95              07803.21 00000.00                      
240731 1118 05 3 Soler           13096.64 00000.00                      
240731 1148 01 4 95              04332.47 00000.00                      
240731 1148 02 4 95              08522.17 00000.00                      
240731 1148 03 4 95              04523.59 00000.00                      
240731 1148 04 4 95              07585.92 00000.00                      
240731 1148 05 3 Soler           12690.30 00000.00                      
240731 1218 01 4 95              04215.71 00000.00                      
240731 1218 02 4 95              08314.05 00000.00                      
240731 1218 03 4 95              04400.91 00000.00                      
240731 1218 04 4 95              07376.11 00000.00                      
240731 1218 05 3 Soler           12520.21 00000.00                      
240731 1248 01 4 95              04110.32 00000.00                      
240731 1248 02 4 95              08137.89 00000.00                      
240731 1248 03 4 95              04298.49 00000.00                      
240731 1248 04 4 95              07190.63 00000.00                      
240731 1248 05 3 Soler           11867.25 00000.00                      
240731 1318 01 4 95              03939.80 00000.00                      
240731 1318 02 4 95              07825.96 00000.00                      
240731 1318 03 4 95              04138.64 00000.00                      
240731 1318 04 4 95              06928.56 00000.00                      
240731 1318 05 3 Soler           11815.21 00000.00                      
240731 1348 01 4 95              03936.55 00000.00                      
240731 1348 02 4 95              09287.89 00000.00                      
240731 1348 03 4 95              04086.14 00000.00                      
240731 1348 04 4 95              08218.10 00000.00                      
240731 1348 05 3 Soler           23619.93 00000.00                      
240731 1418 01 4 95              08109.58 00000.00                      
240731 1418 02 4 95              16163.44 00000.00                      
240731 1418 03 4 95              08620.21 00000.00                      
240731 1418 04 4 95              14926.73 00000.00                      
240731 1418 05 3 Soler           23311.34 00000.00 11991.02 240731 1323 
240731 1448 01 4 95              08308.42 00000.00 05209.34 240731 1348 
240731 1448 02 4 95              15493.74 00000.00 08371.52 240731 1344 
240731 1448 03 4 95              08645.42 00000.00 05209.34 240731 1348 
240731 1448 04 4 95              14752.35 00000.00 08371.52 240731 1344 
240731 1448 05 3 Soler           22827.61 00000.00                      
240731 1518 01 4 95              08274.31 00000.00                      
240731 1518 02 4 95              15243.96 00000.00                      
240731 1518 03 4 95              08478.26 00000.00                      
240731 1518 04 4 95              14449.40 00000.00                      
240731 1518 05 3 Soler           22597.19 00000.00                      
240731 1548 01 4 95              08144.98 00000.00                      
240731 1548 02 4 95              15019.53 00000.00                      
240731 1548 03 4 95              08347.00 00000.00                      
240731 1548 04 4 95              14219.18 00000.00                      
240731 1548 05 3 Soler           21956.97 00000.00                      
240731 1618 01 4 95              07991.71 00000.00                      
240731 1618 02 4 95              14764.84 00000.00                      
240731 1618 03 4 95              08195.74 00000.00                      
240731 1618 04 4 95              13980.30 00000.00                      
240731 1618 05 3 Soler           20972.06 00000.00                      
240731 1648 01 4 95              07827.55 00000.00                      
240731 1648 02 4 95              14496.23 00000.00                      
240731 1648 03 4 95              08024.97 00000.00                      
240731 1648 04 4 95              13669.08 00000.00                      
240731 1648 05 3 Soler           20534.39 00000.00                      
240731 1718 01 4 95              07684.45 00000.00                      
240731 1718 02 4 95              14244.11 00000.00                      
240731 1718 03 4 95              07863.61 00000.00                      
240731 1718 04 4 95              13336.85 00000.00                      
240731 1718 05 3 Soler           20413.88 00000.00                      
240731 1748 01 4 95              07538.05 00000.00                      
240731 1748 02 4 95              13982.94 00000.00                      
240731 1748 03 4 95              07737.51 00000.00                      
240731 1748 04 4 95              13143.99 00000.00                      
240731 1748 05 3 Soler           20379.10 00000.00                      
240731 1818 01 4 95              07365.45 00000.00                      
240731 1818 02 4 95              13721.33 00000.00                      
240731 1818 03 4 95              07561.23 00000.00                      
240731 1818 04 4 95              12803.68 00000.00                      
240731 1818 05 3 Soler           20200.83 00000.00                      
240731 1848 01 4 95              07190.66 00000.00                      
240731 1848 02 4 95              13411.79 00000.00                      
240731 1848 03 4 95              07396.56 00000.00                      
240731 1848 04 4 95              12546.08 00000.00                      
240731 1848 05 3 Soler           20111.38 00000.00                      
240731 1918 01 4 95              07023.46 00000.00                      
240731 1918 02 4 95              13103.69 00000.00                      
240731 1918 03 4 95              07215.63 00000.00                      
240731 1918 04 4 95              12184.47 00000.00                      
240731 1918 05 3 Soler           20014.48 00000.00                      
240731 1948 01 4 95              06851.39 00000.00                      
240731 1948 02 4 95              12825.80 00000.00                      
240731 1948 03 4 95              07044.82 00000.00                      
240731 1948 04 4 95              11922.44 00000.00                      
240731 1948 05 3 Soler           19981.14 00000.00                      
240731 2018 01 4 95              06702.17 00000.00                      
240731 2018 02 4 95              12594.18 00000.00                      
240731 2018 03 4 95              06914.06 00000.00                      
240731 2018 04 4 95              11737.02 00000.00                      
240731 2018 05 3 Soler           19923.20 00000.00                      
240731 2048 01 4 95              06643.28 00000.00                      
240731 2048 02 4 95              12475.32 00000.00                      
240731 2048 03 4 95              06840.59 00000.00                      
240731 2048 04 4 95              11592.27 00000.00                      
240731 2048 05 3 Soler           19641.90 00000.00                      
240731 2118 01 4 95              06554.45 00000.00                      
240731 2118 02 4 95              12332.16 00000.00                      
240731 2118 03 4 95              06763.75 00000.00                      
240731 2118 04 4 95              11457.21 00000.00                      
240731 2118 05 3 Soler           19642.59 00000.00                      
240731 2148 01 4 95              06451.15 00000.00                      
240731 2148 02 4 95              12162.60 00000.00                      
240731 2148 03 4 95              06642.85 00000.00                      
240731 2148 04 4 95              11229.68 00000.00                      
240731 2148 05 3 Soler           19642.64 00000.00                      
240731 2218 01 4 95              06300.30 00000.00                      
240731 2218 02 4 95              11915.99 00000.00                      
240731 2218 03 4 95              06517.99 00000.00                      
240731 2218 04 4 95              11067.56 00000.00                      
240731 2218 05 3 Soler           19588.12 00000.00                      
240731 2248 01 4 95              06196.43 00000.00                      
240731 2248 02 4 95              11738.45 00000.00                      
240731 2248 03 4 95              06410.42 00000.00                      
240731 2248 04 4 95              10872.23 00000.00                      
240731 2248 05 3 Soler           19588.95 00000.00                      
240731 2318 01 4 95              06110.32 00000.00                      
240731 2318 02 4 95              11578.06 00000.00                      
240731 2318 03 4 95              06315.24 00000.00                      
240731 2318 04 4 95              10661.18 00000.00                      
240731 2318 05 3 Soler           19571.33 00000.00                      
240731 2348 01 4 95              06054.84 00000.00                      
240731 2348 02 4 95              11496.70 00000.00                      
240731 2348 03 4 95              06268.81 00000.00                      
240731 2348 04 4 95              10624.53 00000.00                      
240731 2348 05 3 Soler           19571.83 00000.00                      
