240725 0022 01 4 95              05706.28 00000.00                      0103 
240725 0022 02 4 95              10884.76 00000.00                      
240725 0022 03 4 95              05909.63 00000.00                      
240725 0022 04 4 95              09985.73 00000.00                      
240725 0022 05 3 Soler           19669.18 00000.00                      
240725 0052 01 4 95              05702.32 00000.00                      0103 
240725 0052 02 4 95              10888.67 00000.00                      
240725 0052 03 4 95              05908.77 00000.00                      
240725 0052 04 4 95              09962.52 00000.00                      
240725 0052 05 3 Soler           19669.26 00000.00                      
240725 0122 01 4 95              05661.13 00000.00                      0103 
240725 0122 02 4 95              10831.95 00000.00                      
240725 0122 03 4 95              05876.89 00000.00                      
240725 0122 04 4 95              09925.36 00000.00                      
240725 0122 05 3 Soler           19669.29 00000.00                      
240725 0152 01 4 95              05656.19 00000.00                      0103 
240725 0152 02 4 95              10815.68 00000.00                      
240725 0152 03 4 95              05866.59 00000.00                      
240725 0152 04 4 95              09892.52 00000.00                      
240725 0152 05 3 Soler           19669.23 00000.00                      
240725 0222 01 4 95              05646.18 00000.00                      0103 
240725 0222 02 4 95              10768.52 00000.00                      
240725 0222 03 4 95              05843.00 00000.00                      
240725 0222 04 4 95              09864.01 00000.00                      
240725 0222 05 3 Soler           19669.40 00000.00                      
240725 0252 01 4 95              05643.35 00000.00                      0103 
240725 0252 02 4 95              10775.70 00000.00                      
240725 0252 03 4 95              05845.36 00000.00                      
240725 0252 04 4 95              09864.01 00000.00                      
240725 0252 05 3 Soler           19669.43 00000.00                      
240725 0322 01 4 95              05641.96 00000.00                      0103 
240725 0322 02 4 95              10779.58 00000.00                      
240725 0322 03 4 95              05849.07 00000.00                      
240725 0322 04 4 95              09864.44 00000.00                      
240725 0322 05 3 Soler           19609.13 00000.00                      
240725 0352 01 4 95              05640.91 00000.00                      0103 
240725 0352 02 4 95              10781.44 00000.00                      
240725 0352 03 4 95              05850.17 00000.00                      
240725 0352 04 4 95              09865.04 00000.00                      
240725 0352 05 3 Soler           19609.11 00000.00                      
240725 0422 01 4 95              05640.00 00000.00                      0103 
240725 0422 02 4 95              10782.71 00000.00                      
240725 0422 03 4 95              05850.67 00000.00                      
240725 0422 04 4 95              09865.13 00000.00                      
240725 0422 05 3 Soler           19609.28 00000.00                      
240725 0452 01 4 95              05638.30 00000.00                      0103 
240725 0452 02 4 95              10777.37 00000.00                      
240725 0452 03 4 95              05850.29 00000.00                      
240725 0452 04 4 95              09850.13 00000.00                      
240725 0452 05 3 Soler           19609.22 00000.00                      
240725 0522 01 4 95              05637.33 00000.00                      0103 
240725 0522 02 4 95              10778.35 00000.00                      
240725 0522 03 4 95              05850.61 00000.00                      
240725 0522 04 4 95              09850.69 00000.00                      
240725 0522 05 3 Soler           19384.58 00000.00                      
240725 0552 01 4 95              05635.03 00000.00                      0103 
240725 0552 02 4 95              10756.16 00000.00                      
240725 0552 03 4 95              05848.89 00000.00                      
240725 0552 04 4 95              09807.44 00000.00                      
240725 0552 05 3 Soler           19297.70 00000.00                      
240725 0622 01 4 95              05625.89 00000.00                      0103 
240725 0622 02 4 95              10674.63 00000.00                      
240725 0622 03 4 95              05784.49 00000.00                      
240725 0622 04 4 95              09761.26 00000.00                      
240725 0622 05 3 Soler           19297.75 00000.00                      
240725 0652 01 4 95              05517.52 00000.00                      0103 
240725 0652 02 4 95              10561.35 00000.00                      
240725 0652 03 4 95              05725.22 00000.00                      
240725 0652 04 4 95              09650.70 00000.00                      
240725 0652 05 3 Soler           18799.03 00000.00                      
240725 0722 01 4 95              05426.99 00000.00                      0103 
240725 0722 02 4 95              10421.18 00000.00                      
240725 0722 03 4 95              05640.16 00000.00                      
240725 0722 04 4 95              09542.66 00000.00                      
240725 0722 05 3 Soler           18655.78 00000.00                      
240725 0752 01 4 95              05263.67 00000.00                      0103 
240725 0752 02 4 95              10124.10 00000.00                      
240725 0752 03 4 95              05436.77 00000.00                      
240725 0752 04 4 95              09024.90 00000.00                      
240725 0752 05 3 Soler           18264.76 00000.00                      
240725 0822 01 4 95              05047.99 00000.00                      0103 
240725 0822 02 4 95              09715.99 00000.00                      
240725 0822 03 4 95              05216.06 00000.00                      
240725 0822 04 4 95              08684.89 00000.00                      
240725 0822 05 3 Soler           17835.87 00000.00                      
240725 0852 01 4 95              04872.71 00000.00                      0103 
240725 0852 02 4 95              09451.04 00000.00                      
240725 0852 03 4 95              05082.01 00000.00                      
240725 0852 04 4 95              08581.41 00000.00                      
240725 0852 05 3 Soler           17258.98 00000.00                      
240725 0922 01 4 95              04762.08 00000.00                      0103 
240725 0922 02 4 95              09261.23 00000.00                      
240725 0922 03 4 95              04958.23 00000.00                      
240725 0922 04 4 95              08317.10 00000.00                      
240725 0922 05 3 Soler           16846.79 00000.00                      
240725 0952 01 4 95              04650.53 00000.00                      0103 
240725 0952 02 4 95              09076.53 00000.00                      
240725 0952 03 4 95              04861.49 00000.00                      
240725 0952 04 4 95              08221.52 00000.00                      
240725 0952 05 3 Soler           16485.06 00000.00                      
240725 1022 01 4 95              04602.91 00000.00                      0103 
240725 1022 02 4 95              08972.40 00000.00                      
240725 1022 03 4 95              04807.14 00000.00                      
240725 1022 04 4 95              08093.71 00000.00                      
240725 1022 05 3 Soler           15984.57 00000.00                      
240725 1052 01 4 95              04503.77 00000.00                      0103 
240725 1052 02 4 95              08816.86 00000.00                      
240725 1052 03 4 95              04707.63 00000.00                      
240725 1052 04 4 95              07935.31 00000.00                      
