240730 0018 01 4 95              05640.65 00000.00                      
240730 0018 02 4 95              10774.92 00000.00                      
240730 0018 03 4 95              05840.86 00000.00                      
240730 0018 04 4 95              09857.45 00000.00                      
240730 0018 05 3 Soler           17237.22 00000.00                      
240730 0048 01 4 95              05636.04 00000.00                      
240730 0048 02 4 95              10751.81 00000.00                      
240730 0048 03 4 95              05830.23 00000.00                      
240730 0048 04 4 95              09808.72 00000.00                      
240730 0048 05 3 Soler           17229.76 00000.00                      
240730 0118 01 4 95              05599.77 00000.00                      
240730 0118 02 4 95              10703.17 00000.00                      
240730 0118 03 4 95              05796.53 00000.00                      
240730 0118 04 4 95              09781.42 00000.00                      
240730 0118 05 3 Soler           17195.36 00000.00                      
240730 0148 01 4 95              05590.42 00000.00                      
240730 0148 02 4 95              10673.30 00000.00                      
240730 0148 03 4 95              05780.87 00000.00                      
240730 0148 04 4 95              09745.80 00000.00                      
240730 0148 05 3 Soler           17195.94 00000.00                      
240730 0218 01 4 95              05585.74 00000.00                      
240730 0218 02 4 95              10658.04 00000.00                      
240730 0218 03 4 95              05775.50 00000.00                      
240730 0218 04 4 95              09723.64 00000.00                      
240730 0218 05 3 Soler           17152.35 00000.00                      
240730 0248 01 4 95              05582.40 00000.00                      
240730 0248 02 4 95              10653.97 00000.00                      
240730 0248 03 4 95              05772.42 00000.00                      
240730 0248 04 4 95              09704.81 00000.00                      
240730 0248 05 3 Soler           17152.23 00000.00                      
240730 0318 01 4 95              05580.74 00000.00                      
240730 0318 02 4 95              10659.19 00000.00                      
240730 0318 03 4 95              05775.53 00000.00                      
240730 0318 04 4 95              09704.96 00000.00                      
240730 0318 05 3 Soler           17123.32 00000.00                      
240730 0348 01 4 95              05579.84 00000.00                      
240730 0348 02 4 95              10661.95 00000.00                      
240730 0348 03 4 95              05776.17 00000.00                      
240730 0348 04 4 95              09677.71 00000.00                      
240730 0348 05 3 Soler           17124.77 00000.00                      
240730 0418 01 4 95              05578.16 00000.00                      
240730 0418 02 4 95              10659.10 00000.00                      
240730 0418 03 4 95              05778.29 00000.00                      
240730 0418 04 4 95              09670.00 00000.00                      
240730 0418 05 3 Soler           16988.04 00000.00                      
240730 0448 01 4 95              05577.24 00000.00                      
240730 0448 02 4 95              10660.61 00000.00                      
240730 0448 03 4 95              05778.43 00000.00                      
240730 0448 04 4 95              09636.85 00000.00                      
240730 0448 05 3 Soler           16824.48 00000.00                      
240730 0518 01 4 95              05575.86 00000.00                      
240730 0518 02 4 95              10651.48 00000.00                      
240730 0518 03 4 95              05779.27 00000.00                      
240730 0518 04 4 95              09622.83 00000.00                      
240730 0518 05 3 Soler           16746.16 00000.00                      
240730 0548 01 4 95              05573.91 00000.00                      
240730 0548 02 4 95              10636.34 00000.00                      
240730 0548 03 4 95              05778.09 00000.00                      
240730 0548 04 4 95              09595.90 00000.00                      
240730 0548 05 3 Soler           16746.05 00000.00                      
240730 0618 01 4 95              05556.05 00000.00                      
240730 0618 02 4 95              10525.05 00000.00                      
240730 0618 03 4 95              05678.86 00000.00                      
240730 0618 04 4 95              09552.35 00000.00                      
240730 0618 05 3 Soler           16723.83 00000.00                      
240730 0648 01 4 95              05453.92 00000.00                      
240730 0648 02 4 95              10452.72 00000.00                      
240730 0648 03 4 95              05656.27 00000.00                      
240730 0648 04 4 95              09571.23 00000.00                      
240730 0648 05 3 Soler           16600.89 00000.00                      
240730 0718 01 4 95              05388.62 00000.00                      
240730 0718 02 4 95              10336.82 00000.00                      
240730 0718 03 4 95              05585.44 00000.00                      
240730 0718 04 4 95              09428.19 00000.00                      
240730 0718 05 3 Soler           16405.59 00000.00                      
240730 0748 01 4 95              05247.40 00000.00                      
240730 0748 02 4 95              10096.58 00000.00                      
240730 0748 03 4 95              05452.56 00000.00                      
240730 0748 04 4 95              09222.36 00000.00                      
240730 0748 05 3 Soler           16103.54 00000.00                      
240730 0818 01 4 95              05105.31 00000.00                      
240730 0818 02 4 95              09844.39 00000.00                      
240730 0818 03 4 95              05282.37 00000.00                      
240730 0818 04 4 95              08811.37 00000.00                      
240730 0818 05 3 Soler           15899.03 00000.00                      
240730 0848 01 4 95              04916.06 00000.00                      
240730 0848 02 4 95              09492.30 00000.00                      
240730 0848 03 4 95              05113.98 00000.00                      
240730 0848 04 4 95              08632.54 00000.00                      
240730 0848 05 3 Soler           15224.75 00000.00                      
240730 0918 01 4 95              04786.18 00000.00                      
240730 0918 02 4 95              09293.91 00000.00                      
240730 0918 03 4 95              04981.57 00000.00                      
240730 0918 04 4 95              08352.48 00000.00                      
240730 0918 05 3 Soler           14908.15 00000.00                      
240730 0948 01 4 95              08649.13 00000.00                      
240730 0948 02 4 95              18151.05 00000.00                      0204 
240730 0948 03 4 95              09829.74 00000.00                      0212 0204 
240730 0948 04 4 95              17897.02 00000.00                      
240730 0948 05 3 Soler           24856.78 00000.00                      
240730 1018 01 4 95              08828.98 00000.00                      
240730 1018 02 4 95              17833.76 00000.00 08968.51 240730 0920 0204 
240730 1018 03 4 95              10080.17 00000.00                      0212 0204 
240730 1018 04 4 95              17192.50 00000.00 08968.51 240730 0920 
240730 1018 05 3 Soler           24178.00 00000.00 09989.15 240730 0919 
240730 1048 01 4 95              09012.37 00000.00 05260.35 240730 0924 0204 
240730 1048 02 4 95              17558.99 00000.00                      
240730 1048 03 4 95              09896.39 00000.00 05260.35 240730 0924 0212 0204 
240730 1048 04 4 95              16914.70 00000.00                      
240730 1048 05 3 Soler           23621.30 00000.00                      
240730 1118 01 4 95              09199.43 00000.00                      0204 
240730 1118 02 4 95              17280.52 00000.00                      
240730 1118 03 4 95              09720.90 00000.00                      0212 0204 
240730 1118 04 4 95              16593.04 00000.00                      
240730 1118 05 3 Soler           23181.56 00000.00                      
240730 1148 01 4 95              09365.64 00000.00                      0204 
240730 1148 02 4 95              17013.36 00000.00                      
240730 1148 03 4 95              09557.06 00000.00                      0212 0204 
240730 1148 04 4 95              16324.53 00000.00                      
240730 1148 05 3 Soler           22511.81 00000.00                      
240730 1218 01 4 95              09239.35 00000.00                      0204 
240730 1218 02 4 95              16812.76 00000.00                      
240730 1218 03 4 95              09428.78 00000.00                      0212 0204 
240730 1218 04 4 95              16105.37 00000.00                      
240730 1218 05 3 Soler           22144.24 00000.00                      
240730 1248 01 4 95              09101.82 00000.00                      0204 
240730 1248 02 4 95              16594.97 00000.00                      
240730 1248 03 4 95              09265.42 00000.00                      0204 
240730 1248 04 4 95              15762.39 00000.00                      
240730 1248 05 3 Soler           21527.86 00000.00                      
240730 1318 01 4 95              08972.61 00000.00                      0204 
240730 1318 02 4 95              16357.17 00000.00                      
240730 1318 03 4 95              09154.55 00000.00                      0204 
240730 1318 04 4 95              15629.12 00000.00                      
240730 1318 05 3 Soler           21311.59 00000.00                      
240730 1348 01 4 95              08827.89 00000.00                      
240730 1348 02 4 95              16164.76 00000.00                      
240730 1348 03 4 95              09004.26 00000.00                      0204 
240730 1348 04 4 95              15320.79 00000.00                      
240730 1348 05 3 Soler           20918.43 00000.00                      
240730 1418 01 4 95              08712.05 00000.00                      
240730 1418 02 4 95              15965.16 00000.00                      
240730 1418 03 4 95              08899.06 00000.00                      0204 
240730 1418 04 4 95              15166.61 00000.00                      
240730 1418 05 3 Soler           20855.82 00000.00                      
240730 1448 01 4 95              08561.03 00000.00                      
240730 1448 02 4 95              15727.38 00000.00                      
240730 1448 03 4 95              08759.59 00000.00                      
240730 1448 04 4 95              14923.44 00000.00                      
240730 1448 05 3 Soler           20720.86 00000.00                      
240730 1518 01 4 95              08413.84 00000.00                      
240730 1518 02 4 95              15460.47 00000.00                      
240730 1518 03 4 95              08595.74 00000.00                      
240730 1518 04 4 95              14612.09 00000.00                      
240730 1518 05 3 Soler           19946.54 00000.00                      
240730 1548 01 4 95              08226.19 00000.00                      
240730 1548 02 4 95              15118.15 00000.00                      
240730 1548 03 4 95              08409.06 00000.00                      
240730 1548 04 4 95              14306.84 00000.00                      
240730 1548 05 3 Soler           19449.45 00000.00                      
240730 1618 01 4 95              08045.20 00000.00                      
240730 1618 02 4 95              14812.92 00000.00                      
240730 1618 03 4 95              08228.90 00000.00                      
240730 1618 04 4 95              13941.97 00000.00                      
240730 1618 05 3 Soler           19376.36 00000.00                      
240730 1648 01 4 95              07878.17 00000.00                      
240730 1648 02 4 95              14574.46 00000.00                      
240730 1648 03 4 95              08037.27 00000.00                      
240730 1648 04 4 95              13517.26 00000.00                      
240730 1648 05 3 Soler           19178.82 00000.00                      
240730 1718 01 4 95              07643.02 00000.00                      
240730 1718 02 4 95              14176.33 00000.00                      
240730 1718 03 4 95              07823.87 00000.00                      
240730 1718 04 4 95              13280.10 00000.00                      
240730 1718 05 3 Soler           18031.79 00000.00                      
240730 1748 01 4 95              07497.44 00000.00                      
240730 1748 02 4 95              13939.00 00000.00                      
240730 1748 03 4 95              07685.48 00000.00                      
240730 1748 04 4 95              13051.91 00000.00                      
240730 1748 05 3 Soler           17589.11 00000.00                      
240730 1818 01 4 95              07308.46 00000.00                      
240730 1818 02 4 95              13616.98 00000.00                      
240730 1818 03 4 95              07491.25 00000.00                      
240730 1818 04 4 95              12699.27 00000.00                      
240730 1818 05 3 Soler           17440.79 00000.00                      
240730 1848 01 4 95              07132.34 00000.00                      
240730 1848 02 4 95              13302.67 00000.00                      
240730 1848 03 4 95              07305.03 00000.00                      
240730 1848 04 4 95              12301.35 00000.00                      
240730 1848 05 3 Soler           17278.60 00000.00                      
240730 1918 01 4 95              06928.26 00000.00                      
240730 1918 02 4 95              12942.17 00000.00                      
240730 1918 03 4 95              07126.22 00000.00                      
240730 1918 04 4 95              12078.78 00000.00                      
240730 1918 05 3 Soler           17162.20 00000.00                      
240730 1948 01 4 95              06843.78 00000.00                      
240730 1948 02 4 95              12807.81 00000.00                      
240730 1948 03 4 95              07034.27 00000.00                      
240730 1948 04 4 95              11926.19 00000.00                      
240730 1948 05 3 Soler           16973.04 00000.00                      
240730 2018 01 4 95              06720.64 00000.00                      
240730 2018 02 4 95              12619.89 00000.00                      
240730 2018 03 4 95              06922.09 00000.00                      
240730 2018 04 4 95              11737.49 00000.00                      
240730 2018 05 3 Soler           16960.15 00000.00                      
240730 2048 01 4 95              06599.34 00000.00                      
240730 2048 02 4 95              12400.47 00000.00                      
240730 2048 03 4 95              06791.36 00000.00                      
240730 2048 04 4 95              11491.09 00000.00                      
240730 2048 05 3 Soler           16960.36 00000.00                      
240730 2118 01 4 95              06459.92 00000.00                      
240730 2118 02 4 95              12174.25 00000.00                      
240730 2118 03 4 95              06642.57 00000.00                      
240730 2118 04 4 95              11240.55 00000.00                      
240730 2118 05 3 Soler           16888.92 00000.00                      
240730 2148 01 4 95              06335.16 00000.00                      
240730 2148 02 4 95              11968.91 00000.00                      
240730 2148 03 4 95              06543.04 00000.00                      
240730 2148 04 4 95              11107.00 00000.00                      
240730 2148 05 3 Soler           16809.89 00000.00                      
240730 2218 01 4 95              06288.29 00000.00                      
240730 2218 02 4 95              11858.12 00000.00                      
240730 2218 03 4 95              06485.79 00000.00                      
240730 2218 04 4 95              10993.87 00000.00                      
240730 2218 05 3 Soler           16810.14 00000.00                      
240730 2248 01 4 95              06167.88 00000.00                      
240730 2248 02 4 95              11690.37 00000.00                      
240730 2248 03 4 95              06383.94 00000.00                      
240730 2248 04 4 95              10832.62 00000.00                      
240730 2248 05 3 Soler           16641.94 00000.00                      
240730 2318 01 4 95              06095.05 00000.00                      
240730 2318 02 4 95              11560.30 00000.00                      
240730 2318 03 4 95              06302.90 00000.00                      
240730 2318 04 4 95              10647.46 00000.00                      
240730 2318 05 3 Soler           16642.03 00000.00                      
240730 2348 01 4 95              05986.71 00000.00                      
240730 2348 02 4 95              11388.00 00000.00                      
240730 2348 03 4 95              06203.69 00000.00                      
240730 2348 04 4 95              10518.22 00000.00                      
240730 2348 05 3 Soler           16642.39 00000.00                      
