240801 0018 01 4 95              06012.60 00000.00                      
240801 0018 02 4 95              11427.73 00000.00                      
240801 0018 03 4 95              06225.69 00000.00                      
240801 0018 04 4 95              10552.49 00000.00                      
240801 0018 05 3 Soler           19572.20 00000.00                      
240801 0048 01 4 95              05978.51 00000.00                      
240801 0048 02 4 95              11367.15 00000.00                      
240801 0048 03 4 95              06190.05 00000.00                      
240801 0048 04 4 95              10492.05 00000.00                      
240801 0048 05 3 Soler           19572.13 00000.00                      
240801 0118 01 4 95              05977.04 00000.00                      
240801 0118 02 4 95              11371.63 00000.00                      
240801 0118 03 4 95              06191.77 00000.00                      
240801 0118 04 4 95              10492.25 00000.00                      
240801 0118 05 3 Soler           19537.62 00000.00                      
240801 0148 01 4 95              05975.16 00000.00                      
240801 0148 02 4 95              11366.61 00000.00                      
240801 0148 03 4 95              06190.22 00000.00                      
240801 0148 04 4 95              10420.02 00000.00                      
240801 0148 05 3 Soler           19537.60 00000.00                      
240801 0218 01 4 95              05973.21 00000.00                      
240801 0218 02 4 95              11349.10 00000.00                      
240801 0218 03 4 95              06180.99 00000.00                      
240801 0218 04 4 95              10394.86 00000.00                      
240801 0218 05 3 Soler           19537.81 00000.00                      
240801 0248 01 4 95              05962.87 00000.00                      
240801 0248 02 4 95              11277.78 00000.00                      
240801 0248 03 4 95              06138.42 00000.00                      
240801 0248 04 4 95              10393.65 00000.00                      
240801 0248 05 3 Soler           19462.21 00000.00                      
240801 0318 01 4 95              05943.55 00000.00                      
240801 0318 02 4 95              11286.20 00000.00                      
240801 0318 03 4 95              06136.81 00000.00                      
240801 0318 04 4 95              10362.78 00000.00                      
240801 0318 05 3 Soler           19410.57 00000.00                      
240801 0348 01 4 95              05937.36 00000.00                      
240801 0348 02 4 95              11277.41 00000.00                      
240801 0348 03 4 95              06133.38 00000.00                      
240801 0348 04 4 95              10340.88 00000.00                      
240801 0348 05 3 Soler           19273.54 00000.00                      
240801 0418 01 4 95              05934.79 00000.00                      
240801 0418 02 4 95              11277.96 00000.00                      
240801 0418 03 4 95              06134.20 00000.00                      
240801 0418 04 4 95              10314.59 00000.00                      
240801 0418 05 3 Soler           19110.33 00000.00                      
240801 0448 01 4 95              05932.37 00000.00                      
