240724 0022 01 4 95              05742.73 00000.00                      0103 
240724 0022 02 4 95              10944.39 00000.00                      
240724 0022 03 4 95              05947.93 00000.00                      
240724 0022 04 4 95              10044.58 00000.00                      
240724 0022 05 3 Soler           18978.34 00000.00                      
240724 0052 01 4 95              05720.86 00000.00                      0103 
240724 0052 02 4 95              10915.55 00000.00                      
240724 0052 03 4 95              05922.68 00000.00                      
240724 0052 04 4 95              10001.76 00000.00                      
240724 0052 05 3 Soler           18979.23 00000.00                      
240724 0122 01 4 95              05716.69 00000.00                      0103 
240724 0122 02 4 95              10904.19 00000.00                      
240724 0122 03 4 95              05918.47 00000.00                      
240724 0122 04 4 95              09965.85 00000.00                      
240724 0122 05 3 Soler           18979.31 00000.00                      
240724 0152 01 4 95              05713.80 00000.00                      0103 
240724 0152 02 4 95              10900.89 00000.00                      
240724 0152 03 4 95              05916.92 00000.00                      
240724 0152 04 4 95              09956.12 00000.00                      
240724 0152 05 3 Soler           18947.48 00000.00                      
240724 0222 01 4 95              05712.02 00000.00                      0103 
240724 0222 02 4 95              10898.86 00000.00                      
240724 0222 03 4 95              05917.18 00000.00                      
240724 0222 04 4 95              09934.35 00000.00                      
240724 0222 05 3 Soler           18947.61 00000.00                      
240724 0252 01 4 95              05709.49 00000.00                      0103 
240724 0252 02 4 95              10882.69 00000.00                      
240724 0252 03 4 95              05915.19 00000.00                      
240724 0252 04 4 95              09897.80 00000.00                      
240724 0252 05 3 Soler           18947.94 00000.00                      
240724 0322 01 4 95              05708.23 00000.00                      0103 
240724 0322 02 4 95              10888.15 00000.00                      
240724 0322 03 4 95              05917.60 00000.00                      
240724 0322 04 4 95              09897.44 00000.00                      
240724 0322 05 3 Soler           18947.79 00000.00                      
240724 0352 01 4 95              05706.86 00000.00                      0103 
240724 0352 02 4 95              10888.98 00000.00                      
240724 0352 03 4 95              05919.64 00000.00                      
240724 0352 04 4 95              09873.92 00000.00                      
240724 0352 05 3 Soler           18948.55 00000.00                      
240724 0422 01 4 95              05706.03 00000.00                      0103 
240724 0422 02 4 95              10890.16 00000.00                      
240724 0422 03 4 95              05920.91 00000.00                      
240724 0422 04 4 95              09874.35 00000.00                      
240724 0422 05 3 Soler           18891.29 00000.00                      
240724 0452 01 4 95              05704.14 00000.00                      0103 
240724 0452 02 4 95              10872.60 00000.00                      
240724 0452 03 4 95              05919.14 00000.00                      
240724 0452 04 4 95              09840.59 00000.00                      
240724 0452 05 3 Soler           18685.86 00000.00                      
240724 0522 01 4 95              05703.06 00000.00                      0103 
240724 0522 02 4 95              10874.41 00000.00                      
240724 0522 03 4 95              05920.42 00000.00                      
240724 0522 04 4 95              09841.16 00000.00                      
240724 0522 05 3 Soler           18685.82 00000.00                      
240724 0552 01 4 95              05698.84 00000.00                      0103 
240724 0552 02 4 95              10833.69 00000.00                      
240724 0552 03 4 95              05906.71 00000.00                      
240724 0552 04 4 95              09733.69 00000.00                      
240724 0552 05 3 Soler           18607.36 00000.00                      
240724 0622 01 4 95              05601.21 00000.00                      0103 
240724 0622 02 4 95              10712.92 00000.00                      
240724 0622 03 4 95              05806.56 00000.00                      
240724 0622 04 4 95              09822.91 00000.00                      
240724 0622 05 3 Soler           17988.43 00000.00                      
240724 0652 01 4 95              05527.88 00000.00                      0103 
240724 0652 02 4 95              10591.66 00000.00                      
240724 0652 03 4 95              05735.69 00000.00                      
240724 0652 04 4 95              09683.48 00000.00                      
240724 0652 05 3 Soler           17988.58 00000.00                      
240724 0722 01 4 95              05426.61 00000.00                      0103 
240724 0722 02 4 95              10417.57 00000.00                      
240724 0722 03 4 95              05632.44 00000.00                      
240724 0722 04 4 95              09515.85 00000.00                      
240724 0722 05 3 Soler           17793.97 00000.00                      
240724 0752 01 4 95              05321.71 00000.00                      0103 
240724 0752 02 4 95              10217.40 00000.00                      
240724 0752 03 4 95              05531.07 00000.00                      
240724 0752 04 4 95              09315.03 00000.00                      
240724 0752 05 3 Soler           17422.19 00000.00                      
240724 0822 01 4 95              05210.53 00000.00                      0103 
240724 0822 02 4 95              10034.33 00000.00                      
240724 0822 03 4 95              05406.60 00000.00                      
240724 0822 04 4 95              09103.06 00000.00                      
240724 0822 05 3 Soler           16858.42 00000.00                      
240724 0852 01 4 95              05055.17 00000.00                      0103 
240724 0852 02 4 95              09755.26 00000.00                      
240724 0852 03 4 95              05241.19 00000.00                      
240724 0852 04 4 95              08826.34 00000.00                      
240724 0852 05 3 Soler           16391.15 00000.00                      
240724 0922 01 4 95              04940.32 00000.00                      0103 
240724 0922 02 4 95              09563.69 00000.00                      
240724 0922 03 4 95              05123.62 00000.00                      
240724 0922 04 4 95              08602.69 00000.00                      
240724 0922 05 3 Soler           16139.05 00000.00                      
240724 0952 01 4 95              04801.22 00000.00                      0103 
240724 0952 02 4 95              09334.28 00000.00                      
240724 0952 03 4 95              05014.08 00000.00                      
240724 0952 04 4 95              08468.63 00000.00                      
240724 0952 05 3 Soler           15881.11 00000.00                      
240724 1022 01 4 95              04691.90 00000.00                      0103 
240724 1022 02 4 95              09132.41 00000.00                      
240724 1022 03 4 95              04890.65 00000.00                      
240724 1022 04 4 95              08254.39 00000.00                      
240724 1022 05 3 Soler           15820.64 00000.00                      
240724 1052 01 4 95              04567.01 00000.00                      0103 
240724 1052 02 4 95              08918.51 00000.00                      
240724 1052 03 4 95              04745.76 00000.00                      
240724 1052 04 4 95              07919.84 00000.00                      
240724 1052 05 3 Soler           15556.54 00000.00                      
240724 1122 01 4 95              04430.55 00000.00                      0103 
240724 1122 02 4 95              08692.25 00000.00                      
240724 1122 03 4 95              04638.56 00000.00                      
240724 1122 04 4 95              07819.90 00000.00                      
240724 1122 05 3 Soler           15379.21 00000.00                      
240724 1152 01 4 95              08103.40 00000.00                      0103 
240724 1152 02 4 95              18154.27 00000.00                      0204 
240724 1152 03 4 95              08705.78 00000.00                      
240724 1152 04 4 95              16669.34 00000.00                      
240724 1152 05 3 Soler           26160.09 00000.00                      
240724 1222 01 4 95              08279.28 00000.00                      0103 
240724 1222 02 4 95              16915.74 00000.00 08785.26 240724 1131 
240724 1222 03 4 95              09513.78 00000.00                      0212 0204 
240724 1222 04 4 95              16224.90 00000.00 08785.26 240724 1131 
240724 1222 05 3 Soler           25952.47 00000.00 10850.43 240724 1128 
240724 1252 01 4 95              08454.66 00000.00 05178.20 240724 1132 0103 
240724 1252 02 4 95              16653.36 00000.00                      
240724 1252 03 4 95              09338.94 00000.00 05178.20 240724 1132 0204 
240724 1252 04 4 95              15931.57 00000.00                      
240724 1252 05 3 Soler           25310.05 00000.00                      
240724 1322 01 4 95              08638.83 00000.00                      0103 
240724 1322 02 4 95              16360.73 00000.00                      
240724 1322 03 4 95              09155.87 00000.00                      0204 
240724 1322 04 4 95              15629.19 00000.00                      
240724 1322 05 3 Soler           24890.64 00000.00                      
240724 1352 01 4 95              08773.95 00000.00                      0103 
240724 1352 02 4 95              16082.48 00000.00                      
240724 1352 03 4 95              08991.48 00000.00                      0204 
240724 1352 04 4 95              15334.54 00000.00                      
240724 1352 05 3 Soler           24338.24 00000.00                      
240724 1422 01 4 95              08676.94 00000.00                      0103 
240724 1422 02 4 95              15931.30 00000.00                      
240724 1422 03 4 95              08880.67 00000.00                      
240724 1422 04 4 95              15144.85 00000.00                      
240724 1422 05 3 Soler           23952.18 00000.00                      
240724 1452 01 4 95              08553.30 00000.00                      0103 
240724 1452 02 4 95              15709.75 00000.00                      
