240720 0022 01 4 95              05823.04 00000.00                      0103 
240720 0022 02 4 95              11087.13 00000.00                      
240720 0022 03 4 95              06029.10 00000.00                      
240720 0022 04 4 95              10193.24 00000.00                      
240720 0022 05 3 Soler           17724.68 00000.00                      
240720 0052 01 4 95              05817.54 00000.00                      0103 
240720 0052 02 4 95              11068.16 00000.00                      
240720 0052 03 4 95              06017.65 00000.00                      
240720 0052 04 4 95              10154.47 00000.00                      
240720 0052 05 3 Soler           17677.81 00000.00                      
240720 0122 01 4 95              05806.90 00000.00                      0103 
240720 0122 02 4 95              11027.82 00000.00                      
240720 0122 03 4 95              06003.16 00000.00                      
240720 0122 04 4 95              10128.45 00000.00                      
240720 0122 05 3 Soler           17678.11 00000.00                      
240720 0152 01 4 95              05782.24 00000.00                      0103 
240720 0152 02 4 95              11025.26 00000.00                      
240720 0152 03 4 95              05991.21 00000.00                      
240720 0152 04 4 95              10099.40 00000.00                      
240720 0152 05 3 Soler           17677.70 00000.00                      
240720 0222 01 4 95              05779.95 00000.00                      0103 
240720 0222 02 4 95              11032.00 00000.00                      
240720 0222 03 4 95              05993.14 00000.00                      
240720 0222 04 4 95              10099.41 00000.00                      
240720 0222 05 3 Soler           17677.73 00000.00                      
240720 0252 01 4 95              05777.34 00000.00                      0103 
240720 0252 02 4 95              11023.14 00000.00                      
240720 0252 03 4 95              05992.91 00000.00                      
240720 0252 04 4 95              10065.45 00000.00                      
240720 0252 05 3 Soler           17677.87 00000.00                      
240720 0322 01 4 95              05776.45 00000.00                      0103 
240720 0322 02 4 95              11025.58 00000.00                      
240720 0322 03 4 95              05996.29 00000.00                      
240720 0322 04 4 95              10065.69 00000.00                      
240720 0322 05 3 Soler           17677.78 00000.00                      
240720 0352 01 4 95              05775.81 00000.00                      0103 
240720 0352 02 4 95              11027.42 00000.00                      
240720 0352 03 4 95              05996.60 00000.00                      
240720 0352 04 4 95              10037.85 00000.00                      
240720 0352 05 3 Soler           17678.31 00000.00                      
240720 0422 01 4 95              05775.45 00000.00                      0103 
240720 0422 02 4 95              11028.39 00000.00                      
240720 0422 03 4 95              05997.33 00000.00                      
240720 0422 04 4 95              10038.62 00000.00                      
240720 0422 05 3 Soler           17678.38 00000.00                      
240720 0452 01 4 95              05773.86 00000.00                      0103 
240720 0452 02 4 95              11020.10 00000.00                      
240720 0452 03 4 95              05996.89 00000.00                      
240720 0452 04 4 95              10019.90 00000.00                      
240720 0452 05 3 Soler           17678.22 00000.00                      
240720 0522 01 4 95              05773.11 00000.00                      0103 
240720 0522 02 4 95              11019.74 00000.00                      
240720 0522 03 4 95              05996.47 00000.00                      
240720 0522 04 4 95              09983.28 00000.00                      
240720 0522 05 3 Soler           17678.30 00000.00                      
240720 0552 01 4 95              05772.65 00000.00                      0103 
240720 0552 02 4 95              11020.77 00000.00                      
240720 0552 03 4 95              05997.03 00000.00                      
240720 0552 04 4 95              09984.36 00000.00                      
240720 0552 05 3 Soler           17620.43 00000.00                      
240720 0622 01 4 95              05769.23 00000.00                      0103 
240720 0622 02 4 95              10971.75 00000.00                      
240720 0622 03 4 95              05989.00 00000.00                      
240720 0622 04 4 95              09900.05 00000.00                      
240720 0622 05 3 Soler           17532.83 00000.00                      
240720 0652 01 4 95              05767.19 00000.00                      0103 
240720 0652 02 4 95              10976.08 00000.00                      
240720 0652 03 4 95              05991.34 00000.00                      
240720 0652 04 4 95              09899.90 00000.00                      
240720 0652 05 3 Soler           17535.88 00000.00                      
240720 0722 01 4 95              05764.10 00000.00                      0103 
240720 0722 02 4 95              10964.30 00000.00                      
240720 0722 03 4 95              05991.48 00000.00                      
240720 0722 04 4 95              09873.84 00000.00                      
240720 0722 05 3 Soler           17535.91 00000.00                      
240720 0752 01 4 95              05758.28 00000.00                      0103 
240720 0752 02 4 95              10933.23 00000.00                      
240720 0752 03 4 95              05975.59 00000.00                      
240720 0752 04 4 95              09784.45 00000.00                      
240720 0752 05 3 Soler           17535.96 00000.00                      
240720 0822 01 4 95              05703.76 00000.00                      0103 
240720 0822 02 4 95              10899.30 00000.00                      
240720 0822 03 4 95              05902.17 00000.00                      
240720 0822 04 4 95              09836.05 00000.00                      
240720 0822 05 3 Soler           17536.10 00000.00                      
240720 0852 01 4 95              05647.66 00000.00                      0103 
240720 0852 02 4 95              10802.52 00000.00                      
240720 0852 03 4 95              05860.44 00000.00                      
240720 0852 04 4 95              09883.22 00000.00                      
240720 0852 05 3 Soler           17536.61 00000.00                      
240720 0922 01 4 95              05617.03 00000.00                      0103 
240720 0922 02 4 95              10733.75 00000.00                      
240720 0922 03 4 95              05821.05 00000.00                      
240720 0922 04 4 95              09841.43 00000.00                      
240720 0922 05 3 Soler           17536.33 00000.00                      
240720 0952 01 4 95              05543.92 00000.00                      0103 
240720 0952 02 4 95              10597.80 00000.00                      
240720 0952 03 4 95              05754.28 00000.00                      
240720 0952 04 4 95              09700.50 00000.00                      
240720 0952 05 3 Soler           17536.34 00000.00                      
240720 1022 01 4 95              05442.23 00000.00                      0103 
240720 1022 02 4 95              10447.62 00000.00                      
240720 1022 03 4 95              05659.25 00000.00                      
240720 1022 04 4 95              09565.15 00000.00                      
240720 1022 05 3 Soler           17536.31 00000.00                      
240720 1052 01 4 95              05360.66 00000.00                      0103 
240720 1052 02 4 95              10274.72 00000.00                      
240720 1052 03 4 95              05561.73 00000.00                      
240720 1052 04 4 95              09366.05 00000.00                      
240720 1052 05 3 Soler           17536.58 00000.00                      
240720 1122 01 4 95              05255.99 00000.00                      0103 
240720 1122 02 4 95              10122.40 00000.00                      
240720 1122 03 4 95              05489.68 00000.00                      
240720 1122 04 4 95              09276.31 00000.00                      
240720 1122 05 3 Soler           17511.91 00000.00                      
240720 1152 01 4 95              05224.24 00000.00                      0103 
240720 1152 02 4 95              10019.27 00000.00                      
240720 1152 03 4 95              05420.20 00000.00                      
240720 1152 04 4 95              09146.73 00000.00                      
240720 1152 05 3 Soler           17501.63 00000.00                      
240720 1222 01 4 95              05081.27 00000.00                      0103 
240720 1222 02 4 95              09813.25 00000.00                      
240720 1222 03 4 95              05296.92 00000.00                      
240720 1222 04 4 95              08952.12 00000.00                      
240720 1222 05 3 Soler           17438.93 00000.00                      
240720 1252 01 4 95              05009.01 00000.00                      0103 
240720 1252 02 4 95              09688.86 00000.00                      
240720 1252 03 4 95              05224.48 00000.00                      
240720 1252 04 4 95              08807.54 00000.00                      
240720 1252 05 3 Soler           17231.97 00000.00                      
240720 1322 01 4 95              04984.08 00000.00                      0103 
240720 1322 02 4 95              09618.16 00000.00                      
240720 1322 03 4 95              05180.74 00000.00                      
240720 1322 04 4 95              08739.07 00000.00                      
240720 1322 05 3 Soler           17089.10 00000.00                      
240720 1352 01 4 95              04911.64 00000.00                      0103 
240720 1352 02 4 95              09511.03 00000.00                      
240720 1352 03 4 95              05123.97 00000.00                      
240720 1352 04 4 95              08638.52 00000.00                      
240720 1352 05 3 Soler           17079.75 00000.00                      
240720 1422 01 4 95              04834.97 00000.00                      0103 
240720 1422 02 4 95              09387.71 00000.00                      
240720 1422 03 4 95              05043.75 00000.00                      
240720 1422 04 4 95              08506.62 00000.00                      
240720 1422 05 3 Soler           17049.69 00000.00                      
240720 1452 01 4 95              04756.88 00000.00                      0103 
240720 1452 02 4 95              09249.71 00000.00                      
240720 1452 03 4 95              04971.83 00000.00                      
240720 1452 04 4 95              08378.65 00000.00                      
240720 1452 05 3 Soler           16977.93 00000.00                      
240720 1522 01 4 95              04665.21 00000.00                      0103 
240720 1522 02 4 95              09098.31 00000.00                      
240720 1522 03 4 95              04870.63 00000.00                      
240720 1522 04 4 95              08204.27 00000.00                      
240720 1522 05 3 Soler           16979.28 00000.00                      
240720 1552 01 4 95              04552.00 00000.00                      0103 
240720 1552 02 4 95              08885.68 00000.00                      
240720 1552 03 4 95              04761.11 00000.00                      
240720 1552 04 4 95              08010.70 00000.00                      
240720 1552 05 3 Soler           16965.52 00000.00                      
240720 1622 01 4 95              04484.02 00000.00                      0103 
240720 1622 02 4 95              08781.44 00000.00                      
240720 1622 03 4 95              04687.56 00000.00                      
240720 1622 04 4 95              07853.20 00000.00                      
240720 1622 05 3 Soler           16964.57 00000.00                      
240720 1652 01 4 95              04408.43 00000.00                      0103 
240720 1652 02 4 95              08649.01 00000.00                      
240720 1652 03 4 95              04609.84 00000.00                      
240720 1652 04 4 95              07751.98 00000.00                      
240720 1652 05 3 Soler           16965.58 00000.00                      
240720 1722 01 4 95              04322.93 00000.00                      0103 
240720 1722 02 4 95              08502.56 00000.00                      
240720 1722 03 4 95              04529.84 00000.00                      
240720 1722 04 4 95              07633.78 00000.00                      
240720 1722 05 3 Soler           16965.48 00000.00                      
240720 1752 01 4 95              04241.50 00000.00                      0103 
240720 1752 02 4 95              08367.57 00000.00                      
240720 1752 03 4 95              04440.72 00000.00                      
240720 1752 04 4 95              07444.01 00000.00                      
240720 1752 05 3 Soler           16923.43 00000.00                      
240720 1822 01 4 95              04176.05 00000.00                      0103 
240720 1822 02 4 95              08232.27 00000.00                      
240720 1822 03 4 95              04380.22 00000.00                      
240720 1822 04 4 95              07350.63 00000.00                      
240720 1822 05 3 Soler           16924.02 00000.00                      
240720 1852 01 4 95              04107.19 00000.00                      0103 
240720 1852 02 4 95              08143.80 00000.00                      
240720 1852 03 4 95              04320.20 00000.00                      
240720 1852 04 4 95              07265.31 00000.00                      
240720 1852 05 3 Soler           16917.50 00000.00                      
240720 1922 01 4 95              04000.93 00000.00                      0103 
240720 1922 02 4 95              07960.12 00000.00                      
240720 1922 03 4 95              04212.27 00000.00                      
240720 1922 04 4 95              07080.20 00000.00                      
240720 1922 05 3 Soler           16881.79 00000.00                      
